"Provincia, canton y distrito",Población de 15 años y más,Tasa neta de participación,Tasa_de_ocupacion,Tasa de desempleo abierto,Porcentaje de población económicamente inactiva,Relación de dependencia económica,Sector Primario,Sector Secundario,Sector Terciario
San Sebastián     ,31633.0,57.52220782094648,55.148104827237376,4.12728072103759,42.47779217905352,1.2018575511101341,0.527371739753511,16.050444253367726,83.42218400687877
,,,,,,,,,
Escazú,44797.0,60.709422505971375,58.86554903230127,3.0372113546109722,39.29057749402862,1.0778423297543755,2.5483503981797497,16.71596511186955,80.7356844899507
,,,,,,,,,
Escazú            ,9580.0,58.70563674321503,56.69102296450939,3.4317211948790893,41.29436325678497,1.1308677098150783,1.6203277481126863,15.70613146750138,82.67354078438593
San Antonio       ,17544.0,60.5734154126767,58.74943000455997,3.0111978921614755,39.4265845873233,1.12232991436906,3.7935383719802074,18.57960609294654,77.62685553507325
San Rafael        ,17673.0,61.930628642562105,60.159565438804954,2.8597533120146186,38.069371357437895,1.0074006395614437,1.8152746425884123,15.425131677953349,82.75959367945825
,,,,,,,,,
Desamparados,159292.0,56.98905155312257,54.70645104587801,4.005331629561903,43.010948446877435,1.2958062988136023,2.214750467622184,19.570131852242863,78.21511768013495
,,,,,,,,,
Desamparados      ,26951.0,59.26681755779006,56.409780713146084,4.820634821260877,40.73318244220994,1.1202028422963752,0.5327895810037493,14.957574162994147,84.50963625600211
San Miguel        ,24071.0,57.13098749532632,54.91255037181671,3.883071553228621,42.86901250467368,1.3127545084351366,1.626569829021032,20.184596761991223,78.18883340898775
San Juan de Dios  ,14462.0,56.686488729083116,54.66048955884387,3.574042449377897,43.31351127091689,1.3763112954379118,0.683111954459203,22.605945604048074,76.71094244149272
San Rafael Arriba ,11832.0,56.10209601081812,53.97227856659905,3.796324194034348,43.89790398918188,1.2991865019584212,0.8142812402129659,20.263075477607266,78.92264328217978
San Antonio       ,7928.0,58.75378405650857,57.0635721493441,2.8767711464147703,41.24621594349142,1.088235294117647,0.8178603006189213,14.942528735632186,84.23961096374889
Frailes           ,2844.0,50.73839662447257,48.628691983122366,4.158004158004158,49.26160337552742,1.613998613998614,40.41937816341287,16.992046276211134,42.58857556037599
Patarrá          ,8817.0,55.61982533741635,53.51026426222071,3.792822185970636,44.38017466258364,1.4308727569331159,2.4586689275116576,25.667655786350146,71.8736752861382
San Cristóbal     ,2839.0,51.84924269108841,50.65163790066926,2.309782608695652,48.150757308911594,1.6528532608695652,24.200278164116828,37.41307371349096,38.38664812239222
Rosario           ,2281.0,54.888206926786495,53.79219640508549,1.996805111821086,45.111793073213505,1.4664536741214058,22.819885900570497,15.403422982885084,61.77669111654441
Damas            ,10201.0,58.50406822860504,56.94539751004803,2.6642091152815013,41.495931771394964,1.207607238605898,0.5164400068858668,19.159924255465658,80.32363573764847
San Rafael Abajo  ,17822.0,59.690270452250026,57.602962630456744,3.4968979131415683,40.309729547749974,1.1886632825719121,0.5260081823495032,20.397428404441847,79.07656341320865
Gravilias         ,12360.0,57.69417475728156,55.614886731391586,3.6039826111344833,42.30582524271845,1.1068573832562052,0.450974687227233,12.321792260692463,87.2272330520803
Los Guido,16884.0,51.83605780620706,48.51930822080076,6.39853747714808,48.16394219379294,1.7538848263254114,0.89111328125,25.9765625,73.13232421875
,,,,,,,,,
Puriscal,25774.0,50.65957942112206,49.103747963063554,3.071149574940645,49.34042057887794,1.527686298537183,15.786978508217448,14.420037926675095,69.79298356510746
,,,,,,,,,
Santiago          ,9122.0,54.099978074983554,52.63100197325148,2.7152988855116513,45.900021925016446,1.332725430597771,5.977921266402833,13.518017079775046,80.50406165382212
Mercedes Sur      ,4562.0,50.28496273564226,48.92590968873301,2.7027027027027026,49.71503726435774,1.5571054925893635,20.07168458781362,16.666666666666664,63.261648745519715
